Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6320534,Under the Dome,Stephen King,"King, Stephen",,1439148503,9.78144E+12,3,3.91,Scribner,Hardcover,1074,2009,2009,,4/23/2020,,,read,,,,1,0
10592,Carrie,Stephen King,"King, Stephen",,1416524304,9.78142E+12,3,3.98,Pocket Books,Mass Market Paperback,253,2005,1974,,4/23/2020,,,read,,,,1,0
12341557,The Wind Through the Keyhole,Stephen King,"King, Stephen",Jae Lee,,,3,4.15,Scribner,Kindle Edition,322,2012,2012,,4/23/2020,,,read,,,,1,0
5093,"Song of Susannah (The Dark Tower, #6)",Stephen King,"King, Stephen",Darrel Anderson,1416521496,,3,3.99,Pocket Books,Mass Market Paperback,544,2006,2004,,4/23/2020,,,read,,,,1,0
4978,"Wolves of the Calla (The Dark Tower, #5)",Stephen King,"King, Stephen",Bernie Wrightson,141651693X,9.78142E+12,4,4.19,Pocket Books,Mass Market Paperback,931,2006,2003,,4/23/2020,,,read,,,,1,0
5091,"The Dark Tower (The Dark Tower, #7)",Stephen King,"King, Stephen",Michael   Whelan,,,4,4.27,Pocket Books,Paperback,1050,2006,2004,,4/23/2020,,,read,,,,1,0
5096,"Wizard and Glass (The Dark Tower, #4)",Stephen King,"King, Stephen",Dave McKean,340829788,9.78034E+12,3,4.25,New English Library,Paperback,845,2003,1997,,4/23/2020,,,read,,,,1,0
34084,"The Waste Lands (The Dark Tower, #3)",Stephen King,"King, Stephen",Ned Dameron,670032565,9.78067E+12,4,4.24,Viking Adult,Hardcover,422,2003,1991,,4/23/2020,,,read,,,,1,0
5094,"The Drawing of the Three (The Dark Tower, #2)",Stephen King,"King, Stephen",,451210859,9.78045E+12,5,4.23,Signet,Paperback,463,2003,1987,,4/23/2020,,,read,,,,1,0
16101128,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,"Yancey, Rick",,399162410,9.7804E+12,1,4.02,G.P. Putnam's Sons Books for Young Readers,Hardcover,457,2013,2013,,2/28/2019,,,read,,,,1,0
6186357,"The Maze Runner (The Maze Runner, #1)",James Dashner,"Dashner, James",,385737947,9.78039E+12,4,4.04,Delacorte Press,Hardcover,384,2009,2009,,2/28/2019,,,read,,,,1,0
30013,Prelude to Foundation,Isaac Asimov,"Asimov, Isaac",,,,3,4.15,Voyager,Paperback,464,1994,1988,,2/28/2019,,,read,,,,1,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,553803719,9.78055E+12,5,4.17,Bantam,Hardcover,244,2004,1951,,2/28/2019,,,read,,,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,60929871,9.78006E+12,4,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2/28/2019,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,,,5,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2/28/2019,,,read,,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,,,2,3.98,Simon & Schuster,Kindle Edition,194,2011,1953,,2/28/2019,,,read,,,,1,0
43615,"The Gunslinger (The Dark Tower, #1)",Stephen King,"King, Stephen",,,,4,3.94,Plume,Paperback,231,2003,1982,,2/28/2019,,,read,,,,1,0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,,,4,4.29,Disney Hyperion Books,Paperback,377,2006,2005,,2/28/2019,,,read,,,,1,0
30165203,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,,,1,4.11,William Morrow,Kindle Edition,635,2011,2001,,2/28/2019,,,read,,,,1,0
5907,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin",,,5,4.28,Houghton Mifflin,Paperback,366,2002,1937,,2/28/2019,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,,,5,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2/28/2019,,,read,,,,1,0
